Status,Username,Userkey,R4R_Score,Processed_At
SUCCESS,Maxxxx12506790,service:x.com:1415194711682285568,100,2025-06-27 14:51:24
SUCCESS,yaoyaogm,service:x.com:1792132585210118144,100,2025-06-27 14:51:25
SUCCESS,andreehoan,service:x.com:225037966,100,2025-06-27 14:51:26
SUCCESS,aixuexi_ai,service:x.com:1436228734290333714,100,2025-06-27 14:51:31
SUCCESS,NFTsQueen2,service:x.com:1569661343762104322,100,2025-06-27 14:51:32
SUCCESS,AirdropAlchemis,service:x.com:1484231561784737792,100,2025-06-27 14:51:33
SUCCESS,0xredaaa,service:x.com:1085982726539411456,100,2025-06-27 14:51:38
SUCCESS,0xsagarr,service:x.com:1268432506631553025,100,2025-06-27 14:51:39
SUCCESS,315302016,service:x.com:2272878765,100,2025-06-27 14:51:40
SUCCESS,UTDsDad,service:x.com:1622351180918562820,100,2025-06-27 14:51:45
